Brand,Model_Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Seats,Price,Mileage_kmpl,Mileage_km/kg,Power_m,Engine_m
Toyota,Innova,Chennai,2006,230000,Petrol,Manual,3,8.0,4.5,12.4,0.0,132.0,1998.0
Toyota,Innova,Hyderabad,2012,104000,Diesel,Manual,1,7.0,11.75,12.8,0.0,102.0,2494.0
Hyundai,Santro,Hyderabad,2005,87591,Petrol,Manual,1,5.0,1.3,18.0,0.0,110.0,1086.0
Maruti,Swift,Jaipur,2012,95100,Diesel,Manual,1,5.0,3.75,22.9,0.0,74.0,1248.0
Tata,Zest,Pune,2017,70000,Petrol,Manual,1,5.0,4.5,17.57,0.0,88.7,1193.0
Honda,Amaze,Kochi,2016,54944,Petrol,Manual,1,5.0,4.82,18.0,0.0,86.7,1198.0
Ford,Figo,Hyderabad,2012,70337,Diesel,Manual,1,5.0,2.8,20.0,0.0,68.0,1399.0
Maruti,Ritz,Jaipur,2013,99638,Diesel,Manual,1,5.0,3.11,23.2,0.0,73.94,1248.0
Honda,City,Delhi,2009,52000,Petrol,Manual,1,5.0,3.25,17.8,0.0,117.3,1497.0
BMW,5,Delhi,2011,75000,Diesel,Automatic,2,5.0,13.9,16.73,0.0,218.0,1995.0
Hyundai,i10,Pune,2009,95980,Petrol,Manual,1,5.0,2.25,20.36,0.0,78.9,1197.0
Hyundai,Grand,Bangalore,2016,16000,Petrol,Manual,1,5.0,5.75,18.9,0.0,82.0,1197.0
Hyundai,Santro,Hyderabad,2007,73745,Petrol,Manual,1,5.0,2.1,17.0,0.0,110.0,1086.0
Honda,Amaze,Mumbai,2016,18949,Petrol,Manual,1,5.0,5.0,17.8,0.0,86.7,1198.0
Toyota,Fortuner,Delhi,2014,107000,Diesel,Manual,1,7.0,16.5,13.0,0.0,168.5,2982.0
Audi,A6,Coimbatore,2018,48367,Diesel,Automatic,1,5.0,39.58,17.68,0.0,174.33,1968.0
Ford,Ecosport,Delhi,2013,57000,Diesel,Manual,1,5.0,5.5,22.7,0.0,89.84,1498.0
Mahindra,XUV500,Delhi,2014,58000,Diesel,Manual,1,7.0,8.1,15.1,0.0,140.0,2179.0
Honda,Amaze,Kolkata,2015,30000,Diesel,Manual,1,5.0,3.5,25.8,0.0,98.6,1498.0
Volkswagen,Polo,Kolkata,2013,34212,Diesel,Manual,1,5.0,2.79,22.07,0.0,73.9,1199.0
Hyundai,Verna,Ahmedabad,2010,70002,Diesel,Manual,1,5.0,3.45,16.2,0.0,110.0,1493.0
Maruti,Wagon,Bangalore,2016,62000,Petrol,Manual,1,5.0,4.45,18.9,0.0,67.1,998.0
Volkswagen,Polo,Delhi,2010,62001,Petrol,Manual,1,5.0,2.65,15.26,0.0,103.5,1598.0
Hyundai,i20,Pune,2011,78958,Diesel,Manual,2,5.0,3.8,23.0,0.0,90.0,1396.0
Hyundai,i20,Mumbai,2014,30180,Petrol,Manual,1,5.0,4.65,18.5,0.0,82.85,1197.0
Datsun,GO,Pune,2017,32851,Petrol,Manual,1,7.0,3.95,19.83,0.0,67.0,1198.0
Audi,A4,Kolkata,2010,30000,Diesel,Automatic,1,5.0,9.8,14.94,0.0,241.4,2967.0
Hyundai,i20,Pune,2009,66000,Petrol,Manual,2,5.0,2.7,17.0,0.0,80.0,1197.0
Maruti,Omni,Coimbatore,2010,93850,Petrol,Manual,1,5.0,2.41,14.0,0.0,35.0,796.0
Toyota,Etios,Ahmedabad,2014,53000,Petrol,Manual,1,5.0,3.9,17.71,0.0,78.9,1197.0
Jaguar,XF,Hyderabad,2011,78000,Diesel,Automatic,2,5.0,24.0,14.74,0.0,270.9,2993.0
Mahindra,XUV500,Delhi,2012,65000,Diesel,Manual,2,7.0,5.75,16.0,0.0,140.0,2179.0
Hyundai,Verna,Kolkata,2014,40000,Diesel,Automatic,1,5.0,5.25,22.32,0.0,126.32,1582.0
Toyota,Innova,Mumbai,2017,30000,Diesel,Automatic,1,7.0,19.25,11.36,0.0,171.5,2755.0
Maruti,Eeco,Coimbatore,2017,38053,Petrol,Manual,1,5.0,3.91,15.1,0.0,73.0,1196.0
Tata,Nano,Bangalore,2014,25500,Petrol,Manual,1,4.0,2.15,25.4,0.0,37.5,624.0
BMW,3,Mumbai,2015,56087,Diesel,Automatic,1,5.0,20.75,22.69,0.0,190.0,1995.0
Honda,Civic,Delhi,2010,71088,Petrol,Manual,1,5.0,3.35,13.5,0.0,130.0,1799.0
Toyota,Innova,Ahmedabad,2014,55000,Diesel,Manual,1,7.0,11.11,12.99,0.0,100.6,2494.0
Volvo,V40,Bangalore,2014,32700,Diesel,Automatic,1,5.0,20.0,23.3,0.0,150.0,1984.0
Nissan,Micra,Coimbatore,2016,39882,Petrol,Automatic,1,5.0,6.55,19.15,0.0,75.94,1198.0
BMW,5,Mumbai,2009,128000,Petrol,Automatic,1,5.0,7.0,10.8,0.0,215.0,2497.0
Maruti,Vitara,Mumbai,2016,55000,Diesel,Manual,1,5.0,7.5,24.3,0.0,88.5,1248.0
Hyundai,Santro,Mumbai,2005,102000,Petrol,Manual,2,5.0,0.85,17.0,0.0,110.0,1086.0
Mercedes-Benz,B,Pune,2014,53753,Diesel,Automatic,2,5.0,16.75,15.0,0.0,107.3,2143.0
Hyundai,Verna,Kolkata,2018,10250,Diesel,Manual,1,5.0,10.95,22.0,0.0,126.2,1582.0
Maruti,Wagon,Pune,2011,43874,Petrol,Manual,1,5.0,2.45,18.9,0.0,67.1,998.0
Tata,Nano,Coimbatore,2017,32684,Petrol,Automatic,1,4.0,3.23,21.9,0.0,37.48,624.0
Mahindra,Scorpio,Kolkata,2014,42000,Diesel,Manual,1,8.0,7.75,12.05,0.0,120.0,2179.0
Mercedes-Benz,New,Kolkata,2009,28352,Petrol,Automatic,1,5.0,9.35,11.7,0.0,178.0,1796.0
Maruti,Wagon,Pune,2013,89900,CNG,Manual,1,5.0,3.25,18.0,26.6,58.16,998.0
Honda,CR-V,Bangalore,2007,47700,Petrol,Manual,2,5.0,5.25,10.8,0.0,152.0,2354.0
Volkswagen,Vento,Pune,2015,55000,Diesel,Automatic,1,5.0,7.25,21.21,0.0,103.2,1498.0
Maruti,Ciaz,Kochi,2017,44285,Petrol,Manual,1,5.0,7.47,20.73,0.0,91.1,1373.0
Mahindra,XUV500,Jaipur,2016,54000,Diesel,Automatic,1,7.0,13.25,16.0,0.0,140.0,2179.0
Maruti,Ritz,Coimbatore,2016,30232,Petrol,Manual,1,5.0,5.81,21.1,0.0,85.8,1197.0
Maruti,Alto,Hyderabad,2014,88500,Petrol,Manual,1,5.0,2.6,24.07,0.0,67.1,998.0
Mercedes-Benz,SLC,Kolkata,2017,13372,Petrol,Automatic,1,2.0,54.0,19.0,0.0,362.07,2996.0
Hyundai,Verna,Kochi,2019,12645,Petrol,Automatic,1,5.0,11.5,17.0,0.0,121.3,1591.0
Maruti,Alto,Chennai,2010,94385,Petrol,Manual,2,5.0,1.6,19.7,0.0,46.3,796.0
BMW,1,Coimbatore,2015,31821,Diesel,Automatic,1,5.0,17.22,20.58,0.0,143.0,1995.0
Honda,Jazz,Mumbai,2015,12000,Petrol,Automatic,1,5.0,6.0,19.0,0.0,88.7,1199.0
Honda,Civic,Delhi,2012,88578,Petrol,Manual,1,5.0,3.95,13.5,0.0,130.0,1799.0
Mercedes-Benz,New,Kochi,2014,44965,Diesel,Automatic,1,5.0,17.95,19.27,0.0,170.0,2143.0
Honda,Amaze,Kolkata,2014,45044,Diesel,Manual,1,5.0,3.7,25.8,0.0,98.6,1498.0
Maruti,Swift,Kochi,2016,34204,Petrol,Manual,1,5.0,5.43,22.0,0.0,81.8,1197.0
Hyundai,Santro,Kochi,2008,80759,Petrol,Manual,3,5.0,1.67,17.0,0.0,110.0,1086.0
Toyota,Fortuner,Coimbatore,2012,91235,Diesel,Manual,1,7.0,13.49,11.5,0.0,171.0,2982.0
Chevrolet,Beat,Pune,2014,38800,Petrol,Manual,1,5.0,2.85,18.6,0.0,76.8,1199.0
Skoda,Rapid,Chennai,2013,83000,Diesel,Manual,1,5.0,4.75,21.14,0.0,103.52,1498.0
Maruti,Ciaz,Kochi,2018,41283,Petrol,Manual,1,5.0,9.9,20.73,0.0,91.1,1373.0
Audi,RS5,Mumbai,2013,23000,Petrol,Automatic,1,4.0,37.0,11.05,0.0,444.0,2894.0
BMW,3,Mumbai,2014,48000,Diesel,Automatic,1,5.0,26.5,21.76,0.0,190.0,1995.0
Audi,A4,Coimbatore,2015,48214,Diesel,Automatic,1,5.0,23.32,17.11,0.0,174.33,1968.0
Maruti,Swift,Chennai,2016,35000,Diesel,Manual,1,5.0,6.25,22.9,0.0,74.0,1248.0
Mercedes-Benz,S,Kolkata,2010,35277,Petrol,Automatic,1,5.0,30.0,7.81,0.0,362.9,5461.0
Skoda,Rapid,Coimbatore,2016,54620,Diesel,Automatic,1,5.0,9.86,21.66,0.0,103.52,1498.0
Skoda,Superb,Pune,2012,136997,Diesel,Automatic,1,5.0,8.5,17.2,0.0,138.1,1968.0
Hyundai,EON,Kochi,2019,14322,Petrol,Manual,1,5.0,4.23,21.1,0.0,55.2,814.0
Volkswagen,Polo,Jaipur,2012,65634,Diesel,Manual,1,5.0,3.5,22.07,0.0,73.9,1199.0
Datsun,GO,Kolkata,2016,6000,Petrol,Manual,1,5.0,2.5,20.63,0.0,67.06,1198.0
Honda,Brio,Kolkata,2013,33280,Petrol,Manual,1,5.0,2.39,19.4,0.0,86.8,1198.0
Mercedes-Benz,B,Delhi,2013,29000,Petrol,Automatic,1,5.0,11.25,14.8,0.0,120.7,1595.0
Honda,City,Kochi,2015,42831,Diesel,Manual,1,5.0,7.11,26.0,0.0,98.6,1498.0
Toyota,Innova,Ahmedabad,2016,90000,Diesel,Manual,1,7.0,10.9,12.99,0.0,100.6,2494.0
Maruti,Swift,Ahmedabad,2017,24005,Petrol,Manual,1,5.0,6.2,20.4,0.0,81.8,1197.0
Mahindra,XUV500,Mumbai,2012,32792,Diesel,Manual,1,7.0,7.9,15.1,0.0,140.0,2179.0
Ford,Ecosport,Kochi,2014,147898,Diesel,Manual,1,5.0,4.42,22.7,0.0,89.84,1498.0
Toyota,Fortuner,Mumbai,2012,131765,Diesel,Manual,1,7.0,13.5,13.0,0.0,168.5,2982.0
Volkswagen,Vento,Chennai,2013,65000,Diesel,Automatic,1,5.0,6.25,21.5,0.0,108.5,1498.0
Ford,Figo,Jaipur,2010,66123,Diesel,Manual,2,5.0,2.1,20.0,0.0,68.0,1399.0
BMW,X5,Mumbai,2015,41000,Diesel,Automatic,1,5.0,45.0,15.3,0.0,258.0,2993.0
Mercedes-Benz,New,Coimbatore,2017,23550,Diesel,Automatic,1,5.0,33.66,19.27,0.0,167.62,2143.0
Honda,Brio,Bangalore,2012,45000,Petrol,Manual,2,5.0,3.65,19.4,0.0,86.8,1198.0
Hyundai,i10,Delhi,2013,60000,Petrol,Manual,1,5.0,2.75,20.36,0.0,78.9,1197.0
Mercedes-Benz,GLC,Bangalore,2016,44414,Diesel,Automatic,1,5.0,42.5,17.9,0.0,170.0,2143.0
Hyundai,Grand,Kolkata,2019,1000,Petrol,Manual,1,5.0,6.5,18.9,0.0,81.86,1197.0
Audi,A6,Mumbai,2012,62500,Diesel,Automatic,2,5.0,19.0,17.68,0.0,174.33,1968.0
Volkswagen,Vento,Mumbai,2013,21000,Petrol,Automatic,2,5.0,4.45,14.4,0.0,103.6,1598.0
Mini,Countryman,Jaipur,2017,8525,Diesel,Automatic,2,5.0,23.0,16.6,0.0,112.0,1998.0
Hyundai,i20,Bangalore,2014,29000,Diesel,Manual,1,5.0,8.35,22.54,0.0,88.73,1396.0
Audi,A6,Mumbai,2014,40000,Diesel,Automatic,1,5.0,22.95,17.68,0.0,174.33,1968.0
Chevrolet,Beat,Jaipur,2012,88000,Diesel,Manual,1,5.0,1.5,25.44,0.0,57.6,936.0
Skoda,Superb,Kochi,2012,53537,Petrol,Automatic,1,5.0,6.89,13.7,0.0,157.75,1798.0
Ford,Fiesta,Chennai,2006,216000,Diesel,Manual,2,5.0,1.45,17.8,0.0,68.0,1399.0
BMW,5,Hyderabad,2014,51000,Diesel,Automatic,1,5.0,33.5,22.48,0.0,190.0,1995.0
Chevrolet,Optra,Jaipur,2007,118500,Petrol,Manual,1,5.0,1.25,12.9,0.0,102.5,1598.0
Volkswagen,Polo,Hyderabad,2012,63000,Diesel,Manual,1,5.0,4.2,22.07,0.0,73.9,1199.0
Renault,Lodgy,Mumbai,2015,25000,Diesel,Manual,1,8.0,6.75,19.98,0.0,108.5,1461.0
Mercedes-Benz,E-Class,Bangalore,2014,37382,Diesel,Automatic,1,5.0,32.0,13.0,0.0,201.1,2143.0
Maruti,Baleno,Kochi,2017,24773,Petrol,Manual,1,5.0,7.5,21.4,0.0,83.1,1197.0
Hyundai,Verna,Delhi,2012,62000,Diesel,Manual,1,5.0,4.6,22.32,0.0,126.32,1582.0
Hyundai,i10,Kochi,2017,52340,Petrol,Manual,1,5.0,4.04,19.81,0.0,68.05,1086.0
Mahindra,Scorpio,Kochi,2016,56739,Diesel,Manual,1,7.0,10.31,15.4,0.0,120.0,1997.0
Land,Rover,Coimbatore,2018,36091,Diesel,Automatic,1,5.0,55.76,12.7,0.0,187.7,2179.0
Ford,Figo,Chennai,2010,120000,Diesel,Manual,1,5.0,2.6,20.0,0.0,68.0,1399.0
Maruti,Ertiga,Mumbai,2016,33000,Diesel,Manual,1,7.0,8.5,25.47,0.0,88.5,1248.0
Honda,City,Ahmedabad,2007,60006,Petrol,Manual,1,5.0,2.95,18.0,0.0,110.0,1611.0
Honda,Amaze,Kolkata,2014,52000,Diesel,Manual,1,5.0,3.5,25.8,0.0,98.6,1498.0
Hyundai,i10,Jaipur,2015,43571,Petrol,Manual,1,5.0,3.55,20.36,0.0,78.9,1197.0
Honda,Amaze,Kolkata,2013,50000,Diesel,Manual,1,5.0,3.25,25.8,0.0,98.6,1498.0
Skoda,Laura,Hyderabad,2008,113000,Diesel,Manual,1,5.0,4.5,17.5,0.0,106.0,1896.0
Renault,Duster,Delhi,2014,90000,Diesel,Manual,1,5.0,5.35,19.87,0.0,83.8,1461.0
Mahindra,NuvoSport,Chennai,2017,29000,Diesel,Manual,2,7.0,6.5,17.45,0.0,100.0,1493.0
Maruti,Vitara,Mumbai,2016,20000,Diesel,Manual,1,5.0,9.0,24.3,0.0,88.5,1248.0
Hyundai,i20,Kochi,2016,61012,Petrol,Manual,1,5.0,6.0,18.6,0.0,81.83,1197.0
Skoda,Fabia,Jaipur,2009,87459,Petrol,Manual,1,5.0,2.75,14.7,0.0,85.0,1390.0
Tata,Indigo,Pune,2010,70500,Petrol,Manual,1,5.0,1.5,15.64,0.0,64.1,1193.0
Audi,Q3,Delhi,2015,64103,Diesel,Automatic,1,5.0,19.9,15.73,0.0,174.33,1968.0
Skoda,Octavia,Mumbai,2014,76000,Petrol,Automatic,1,5.0,10.0,14.7,0.0,177.5,1798.0
Toyota,Etios,Delhi,2014,104000,Diesel,Manual,1,5.0,3.0,23.59,0.0,67.06,1364.0
Maruti,Swift,Kolkata,2010,42001,Petrol,Manual,1,5.0,2.11,16.1,0.0,110.0,1611.0
Mercedes-Benz,B,Kochi,2014,37245,Petrol,Automatic,1,5.0,11.96,14.8,0.0,120.7,1595.0
Honda,Amaze,Kolkata,2013,45000,Diesel,Manual,1,5.0,3.25,27.4,0.0,98.6,1498.0
Hyundai,Verna,Jaipur,2012,117837,Diesel,Manual,2,5.0,4.75,22.32,0.0,126.32,1582.0
Renault,Duster,Mumbai,2014,30000,Diesel,Manual,1,5.0,5.95,20.46,0.0,83.8,1461.0
Hyundai,Creta,Delhi,2015,27057,Petrol,Manual,2,5.0,8.15,15.29,0.0,121.3,1591.0
Maruti,Wagon,Mumbai,2016,8500,Petrol,Automatic,1,5.0,4.22,20.51,0.0,67.0,998.0
Mercedes-Benz,New,Kolkata,2010,30500,Petrol,Automatic,1,5.0,10.5,11.74,0.0,186.0,1796.0
Audi,A8,Delhi,2012,56000,Diesel,Automatic,1,5.0,45.0,11.8,0.0,246.7,2967.0
Hyundai,i10,Pune,2012,44000,Petrol,Manual,2,5.0,2.9,19.81,0.0,68.05,1086.0
Skoda,Rapid,Mumbai,2017,10500,Petrol,Automatic,1,5.0,8.9,14.3,0.0,103.52,1598.0
Skoda,Superb,Hyderabad,2017,26000,Petrol,Automatic,1,5.0,26.0,14.67,0.0,177.46,1798.0
Hyundai,i20,Coimbatore,2018,25166,Petrol,Manual,1,5.0,8.22,17.19,0.0,81.86,1197.0
Honda,Amaze,Kolkata,2014,64000,Diesel,Manual,2,5.0,3.5,25.8,0.0,98.6,1498.0
Maruti,Wagon,Chennai,2004,61000,Petrol,Manual,2,5.0,1.25,18.9,0.0,67.1,998.0
Mahindra,Verito,Hyderabad,2013,107000,Diesel,Manual,1,5.0,3.7,21.03,0.0,65.0,1461.0
Mercedes-Benz,New,Coimbatore,2018,29161,Diesel,Automatic,1,5.0,39.41,19.27,0.0,167.62,2143.0
Maruti,Wagon,Kolkata,2013,32000,Petrol,Manual,1,5.0,2.65,22.5,0.0,67.04,998.0
Nissan,Terrano,Coimbatore,2015,46173,Diesel,Manual,2,5.0,8.92,19.01,0.0,108.5,1461.0
Maruti,Swift,Delhi,2013,47000,Diesel,Manual,1,5.0,4.1,17.8,0.0,110.0,1248.0
Mini,Cooper,Kochi,2017,26327,Petrol,Automatic,1,4.0,35.67,16.82,0.0,189.08,1998.0
Ford,Figo,Bangalore,2015,70436,Diesel,Manual,1,5.0,3.6,18.0,0.0,99.0,1498.0
Tata,Indica,Jaipur,2007,200000,Diesel,Manual,2,5.0,0.85,17.2,0.0,53.5,1396.0
Chevrolet,Beat,Kochi,2016,60813,Petrol,Manual,2,5.0,3.32,18.6,0.0,76.8,1199.0
Volkswagen,Polo,Mumbai,2012,45000,Diesel,Manual,1,5.0,3.6,22.07,0.0,73.9,1199.0
Maruti,Swift,Hyderabad,2016,64000,Diesel,Manual,1,5.0,6.8,22.9,0.0,74.0,1248.0
Ford,Figo,Kolkata,2012,41284,Diesel,Manual,1,5.0,2.5,20.0,0.0,68.05,1399.0
Toyota,Innova,Kochi,2019,14165,Diesel,Automatic,1,7.0,19.64,11.36,0.0,171.5,2755.0
Hyundai,Santa,Mumbai,2011,67000,Diesel,Automatic,2,7.0,7.0,11.72,0.0,194.3,2199.0
Honda,City,Kolkata,2011,32572,Petrol,Manual,1,5.0,3.87,17.4,0.0,117.3,1497.0
Hyundai,i20,Kochi,2018,14960,Petrol,Manual,1,5.0,6.27,18.6,0.0,81.83,1197.0
Mercedes-Benz,New,Kochi,2015,55980,Diesel,Automatic,1,5.0,18.12,19.27,0.0,167.62,2143.0
Chevrolet,Beat,Mumbai,2013,74000,Diesel,Manual,1,5.0,2.65,25.44,0.0,57.6,936.0
